ScrapeTimestamp,IndexCode,SYMBOL,NAME,LDCP,CURRENT,CHANGE,CHANGE (%),IDX WTG (%),IDX POINT,VOLUME,FREEFLOAT (M),MARKET CAP (M)
2026-09-21 10:18:00,KSE100,CNERGY,Cnergyico PK Limited,12.92,13.15,0.23,1.78%,0.37%,11.61,"51,001,333","1,373","18,060"
2026-09-21 10:18:00,KSE100,BOPXD,The Bank of Punjab,31.19,30.96,-0.23,-0.74%,0.89%,-11.69,"8,152,505","1,382","42,791"
2026-09-21 10:18:00,KSE100,PIBTL,Pakistan International Bulk Terminal,15.49,15.60,0.11,0.71%,0.26%,3.25,"8,087,557",804,"12,538"
2026-09-21 10:18:00,KSE100,MLCF,Maple Leaf Cement Factory Limited,94.76,94.50,-0.26,-0.27%,0.92%,-4.51,"7,217,436",471,"44,548"
2026-09-21 10:18:00,KSE100,KEL,K-Electric Limited,6.82,6.75,-0.07,-1.03%,0.39%,-7.11,"5,359,354","2,762","18,640"
2026-09-21 10:18:00,KSE100,PAEL,Pak Elektron Limited,36.84,36.65,-0.19,-0.52%,0.39%,-3.55,"4,692,720",508,"18,618"
2026-09-21 10:18:00,KSE100,DGKC,D.G. Khan Cement Company Limited,196.08,195.81,-0.27,-0.14%,0.89%,-2.17,"3,857,266",219,"42,894"
2026-09-21 10:18:00,KSE100,FCCLXD,Fauji Cement Company Limited,52.85,52.95,0.10,0.19%,0.94%,3.16,"3,254,539",858,"45,457"
2026-09-21 10:18:00,KSE100,SSGC,Sui Southern Gas Company Limited,23.88,23.78,-0.10,-0.42%,0.17%,-1.24,"2,658,544",337,"8,011"
2026-09-21 10:18:00,KSE100,PPL,Pakistan Petroleum Limited,228.80,228.25,-0.55,-0.24%,3.17%,-13.54,"2,310,549",670,"152,815"
2026-09-21 10:18:00,KSE100,YOUW,Yousaf Weaving Mills Limited,4.98,5.21,0.23,4.62%,0.01%,0.73,"2,194,229",86,449
2026-09-21 10:18:00,KSE100,HBL,Habib Bank Limited,303.04,303.85,0.81,0.27%,3.70%,17.47,"1,977,206",587,"178,281"
2026-09-21 10:18:00,KSE100,TRG,TRG Pakistan Limited,50.69,51.01,0.32,0.63%,0.38%,4.17,"1,644,311",355,"18,083"
2026-09-21 10:18:00,KSE100,NPL,Nishat Power Limited,64.37,64.40,0.03,0.05%,0.23%,0.19,"1,520,100",173,"11,146"
2026-09-21 10:18:00,KSE100,OGDC,Oil & Gas Development Company Limited,318.06,318.00,-0.06,-0.02%,4.26%,-1.42,"1,407,892",645,"205,154"
2026-09-21 10:18:00,KSE100,FFL,Fauji Foods Limited,14.78,14.71,-0.07,-0.47%,0.15%,-1.30,"1,378,813",504,"7,414"
2026-09-21 10:18:00,KSE100,ENGROH,Engro Holdings Limited,263.02,263.71,0.69,0.26%,4.95%,22.91,"1,250,803",903,"238,176"
2026-09-21 10:18:00,KSE100,LOTCHEM,Lotte Chemical Pakistan Limited,25.13,25.10,-0.03,-0.12%,0.20%,-0.42,"1,221,761",379,"9,502"
2026-09-21 10:18:00,KSE100,SYS,Systems Limited,121.95,121.00,-0.95,-0.78%,2.41%,-33.45,"1,191,083",958,"115,883"
2026-09-21 10:18:00,KSE100,AKBL,Askari Bank Limited,107.70,107.31,-0.39,-0.36%,0.97%,-6.23,"1,077,502",435,"46,657"
2026-09-21 10:18:00,KSE100,BAFL,Bank Alfalah Limited,57.15,57.48,0.33,0.58%,1.69%,17.22,"1,070,603","1,419","81,590"
2026-09-21 10:18:00,KSE100,PSO,Pakistan State Oil Company Limited,345.64,349.00,3.36,0.97%,1.70%,29.00,"1,023,348",235,"81,923"
2026-09-21 10:18:00,KSE100,NBP,National Bank of Pakistan,170.55,170.20,-0.35,-0.21%,1.80%,-6.56,"997,030",510,"86,824"
2026-09-21 10:18:00,KSE100,HUBC,The Hub Power Company Limited,203.80,203.75,-0.05,-0.02%,4.12%,-1.79,"984,985",973,"198,221"
2026-09-21 10:18:00,KSE100,LUCKXD,Lucky Cement Limited,416.00,421.99,5.99,1.44%,3.85%,96.78,"948,582",440,"185,465"
2026-09-21 10:18:00,KSE100,CPHL,Citi Pharma Ltd.,75.38,75.65,0.27,0.36%,0.18%,1.13,"816,629",114,"8,642"
2026-09-21 10:18:00,KSE100,UBL,United Bank Limited,429.50,428.90,-0.60,-0.14%,7.81%,-19.33,"814,022",876,"375,925"
2026-09-21 10:18:00,KSE100,SEARL,The Searle Company Limited,79.69,80.22,0.53,0.66%,0.49%,5.73,"769,956",294,"23,593"
2026-09-21 10:18:00,KSE100,JVDC,Javedan Corporation Limited,141.59,144.98,3.39,2.39%,0.57%,23.73,"706,755",190,"27,609"
2026-09-21 10:18:00,KSE100,PSX,Pakistan Stock Exchange Limited,45.43,46.45,1.02,2.25%,0.46%,18.03,"618,023",481,"22,337"
2026-09-21 10:18:00,KSE100,TPLRF1,TPL REIT Fund I,9.34,9.34,0.00,0.00%,0.27%,0.00,"599,600","1,376","12,854"
2026-09-21 10:18:00,KSE100,ILP,Interloop Limited,98.46,100.00,1.54,1.56%,0.58%,15.87,"567,500",280,"28,034"
2026-09-21 10:18:00,KSE100,POWER,Power Cement Limited,22.76,22.43,-0.33,-1.45%,0.21%,-5.48,"517,611",452,"10,141"
